Account ID,Username,Platform,Follower Count,Posts Per Week,Engagement Rate,Ad Spend (USD),Conversion Rate,Campaign Reach
1.0,harrislisa,TikTok,54217.0,3.0,0.0986,538.1,0.049,1308.0
2.0,rhicks,LinkedIn,987518.0,5.0,0.0834,479.24,0.0174,13302.0
3.0,qthomas,Facebook,218870.0,3.0,0.102,150.36,0.0318,11043.0
4.0,carlosholt,Instagram,207432.0,6.0,0.0834,932.62,0.04,12074.0
5.0,parsonsashley,Facebook,350204.0,2.0,0.0642,504.44,0.0463,14083.0
6.0,nicole57,Facebook,547069.0,,0.0834,804.4,,26129.0
7.0,tammy32,Twitter,267622.0,7.0,0.0856,884.06,0.0196,1461.0
8.0,stephaniehouse,TikTok,870279.0,2.0,0.0642,376.75,0.0105,12523.0
9.0,andrewgregory,TikTok,40872.0,1.0,0.0834,352.48,0.0278,29048.0
10.0,amanda20,Facebook,591103.0,2.0,0.102,907.34,0.0443,8437.0
11.0,qhood,TikTok,511595.0,,0.0642,610.44,0.0116,45067.0
12.0,tprice,,827728.0,6.0,0.0642,858.82,0.0342,29938.0
13.0,robertpalmer,Instagram,637204.0,,0.0642,924.61,0.0143,38384.0
14.0,gilbertdavid,Twitter,866806.0,2.0,0.0642,757.24,0.0423,37502.0
15.0,gsharp,,148081.0,3.0,0.0856,98.99,0.0118,25808.0
16.0,katieking,,,3.0,0.0834,887.03,0.0249,7280.0
17.0,michaelgonzales,Twitter,412047.0,1.0,0.0642,869.5,0.0155,1453.0
18.0,jeff87,Facebook,988072.0,6.0,0.102,997.04,0.0412,3879.0
19.0,lrusso,Instagram,396431.0,3.0,0.0856,222.59,0.0193,15123.0
20.0,yvettepotts,TikTok,653790.0,1.0,0.0642,129.94,0.0413,12944.0
21.0,mcculloughedward,Facebook,768753.0,5.0,0.102,741.67,0.0105,5073.0
22.0,destinymartinez,Facebook,,1.0,0.0856,423.76,0.044,20004.0
23.0,carlosholt,TikTok,693593.0,5.0,0.102,779.45,0.0208,4053.0
24.0,sancheztroy,TikTok,680719.0,5.0,0.102,794.46,0.0261,42691.0
25.0,cassandramiles,Facebook,825951.0,2.0,0.0856,317.31,0.0427,42518.0
26.0,brian06,Facebook,480900.0,7.0,0.0986,357.45,0.0412,49640.0
27.0,kwashington,TikTok,361099.0,4.0,0.0986,968.85,0.0239,48006.0
28.0,hevans,Facebook,941481.0,4.0,0.0642,780.56,0.0283,21873.0
29.0,qramos,Twitter,8146.0,4.0,0.0856,143.89,0.0245,26481.0
30.0,ctorres,Facebook,,5.0,0.0856,741.79,0.0432,8841.0
31.0,pamelagonzalez,Facebook,106222.0,2.0,0.0834,,0.0262,24586.0
32.0,davisjose,LinkedIn,,1.0,0.0856,872.61,0.0493,
33.0,ctorres,TikTok,126614.0,4.0,0.0642,301.92,0.0117,16710.0
34.0,palmerjeffrey,Twitter,768799.0,3.0,0.0834,578.63,0.0133,36091.0
35.0,vgriffith,Twitter,938465.0,3.0,0.0834,422.04,0.0418,7719.0
36.0,hardyjames,Twitter,803181.0,5.0,0.0986,798.96,0.0357,48056.0
37.0,nicolegalloway,Twitter,861883.0,3.0,0.0834,894.32,0.0496,41776.0
38.0,lisa14,TikTok,588597.0,6.0,0.0856,932.62,0.038,27980.0
39.0,gacosta,LinkedIn,863013.0,6.0,0.0834,287.9,0.0298,38547.0
40.0,lori07,Instagram,,3.0,0.0834,278.42,0.0202,7876.0
41.0,ipreston,Instagram,203880.0,1.0,0.0834,244.21,0.0492,2885.0
42.0,dmiller,Instagram,841408.0,1.0,0.0986,224.07,0.0245,16849.0
43.0,,Facebook,861745.0,1.0,0.0986,,0.0416,28711.0
44.0,larry14,,792801.0,2.0,0.0642,54.61,0.0165,3418.0
45.0,kevingarcia,Facebook,336649.0,3.0,0.0856,742.79,0.0307,31216.0
46.0,laura55,Instagram,109261.0,6.0,,546.44,0.0419,22974.0
47.0,michellemcdaniel,,978420.0,5.0,,94.05,0.0302,6341.0
48.0,,LinkedIn,,6.0,0.0642,868.22,0.0216,32574.0
49.0,racheldodson,Twitter,338103.0,5.0,0.0642,162.02,0.0133,41395.0
50.0,brady22,Instagram,26474.0,1.0,0.0856,771.95,0.0237,46602.0
51.0,hbrooks,Instagram,636805.0,5.0,0.0834,139.18,0.0385,42138.0
,vincentwang,TikTok,304270.0,2.0,0.0834,135.73,0.0423,15528.0
53.0,,LinkedIn,870866.0,3.0,0.0834,,0.0104,35612.0
54.0,elizabeth86,Facebook,179124.0,1.0,0.0642,557.81,0.0178,18973.0
55.0,lisa14,TikTok,271022.0,3.0,,851.98,0.0354,22596.0
56.0,jonesaustin,Twitter,572419.0,4.0,0.0642,966.47,0.0369,39144.0
57.0,beth19,TikTok,206004.0,7.0,0.0856,570.51,0.0448,18786.0
